Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1949","","Cent","Lincoln Wheat Cent","Historical US Circulation Coins","Circulated","$22.40","Pending","","",""
"1974","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$31.35","$8 – $15","","",""
"1928","S","Dime","U.S. Dime Collection Selection","Mercury","Good","$24.50","","","",""
"1909","","Cent","Wheat Cents","Unmapped","Extra Fine","$189.00","","","",""
"1945","D","Quarter","Washington Silver Quarter","","Uncirculated","points","$18 – $35","","",""
"2011","P","$1","Presidential $1 Coin Program","James A. Garfield","Uncirculated","4.25","Pending","","",""
"1948","","Quarter Dollar","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"2007","P","$1","Presidential $1 Coin Program","James Monroe","Uncirculated","4.95","Pending","","",""
"2006","W","Dollar","American Eagle","","Proof-63","$125.00","Pending","","",""
"2007","D","$1","Presidential $1 Coin Program","George Washington","Uncirculated","5.50","Pending","","",""
"2022","P","Native American Dollar","Native American Dollar","Ely Samuel Parker","Uncirculated","$0.00","Pending","","",""
"1870","","Cent","","","Extremely Fine","$775.00","Pending","","",""
"1912","","25 Cents","Barber Silver Quarters","Liberty Head","Very Good","$34.00","Pending","","",""
"1988","S","Quarter","Washington Silver Quarter","","Choice Proof 63","3.25","$3 – $7","","",""
"2021","W","Dollar","America the Beautiful Quarters","Unmapped","","","$250 – $375","","",""
"1907","","Half Dollar","Barber","Liberty Head","Circulated","$47.25","$18 – $45","","",""
"2025","S","Quarter Dollar","American Women Quarters","Stacey Park Milbern","Choice Proof-63","$34.95","","","",""
"2009","D","Penny","Lincoln Cent Series","Abraham Lincoln, Birth and Childhood Reverse","Uncirculated","$0.30","$0.50 – $2.00","","",""
"1996","D","Quarter","Washington Silver Quarter","","Uncirculated","4.25","$1 – $3","","",""
"2024","D","Quarter Dollar","American Women Quarters","Pauli Murray","Uncirculated","$1.00","","","",""
"1853","","Seated Liberty Half Dime","","Arrows","Average Circulated","$45.00","$35 – $75","","",""
"1979","","Quarter","Washington Silver Quarter","","Uncirculated","1.75","$1 – $3","","",""
"1985","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.95","$0.15 – $1.00","","",""
"1989","S","Quarter","Washington Silver Quarter","","Choice Proof 63","2.85","$3 – $7","","",""
"1953","","Dime","Roosevelt Dime","","Circulated","$19.20","Pending","","",""
"1901","","Penny","Indian Head Cent","Indian Head","Good","$8.25","$1.50 – $3.00","","",""
"1927","S","Penny","Lincoln Head Penny","","Average Circulated","","$1.50 – $4.00","","",""
"1891","CC","1 Dollar","Morgan Silver Dollars","","About Uncirculated","$338.00","$650 – $850","","",""
"1904","O","1 Dollar","Morgan Silver Dollars","Liberty Head","Mint State","$115.00","$75 – $110","","",""
"1937","","Dime","Mercury Dime","Winged Liberty Head","Extremely Fine","$16.50","Pending","","",""
"1890","","Dime","Liberty Seated Silver Dime","","Fine","$54.00","Pending","","",""
"1963","D","Dime","USA Invoice Import","Unmapped","Uncirculated","$17.10","","","",""
"1905","","Half Dollar","Barber","Liberty Head","Circulated","$56.00","Pending","","",""
"1951","D","Quarter","Washington Silver Quarter","","Fine","24.50","$6 – $9","","",""
"1859","O","Half Dollar","Liberty Seated","No Motto","Average Circulated","$108.00","Pending","","",""
"1983","S","Dime","Roosevelt Dimes","","Choice Proof 63","3.75","$2 – $5","","",""
"1981","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$17.95","$10 – $15","","",""
"1896","","Nickel","Liberty Head Nickel","Liberty Head","Good","$35.00","Pending","","",""
"1887","","1 Dollar","Morgan Silver Dollars","","Select Uncirculated","$875.00","$75 – $95","","",""
"1894","S","Half Dollar","Barber","Liberty Head","Good","$57.00","$100 – $140","","",""
"1840","","Quarter","Liberty Seated","Liberty Seated, No Motto","Genuine","$85.00","$40 – $150","","",""
"1924","S","Dime","USA Invoice Import","Unmapped","Good","$29.50","","","",""
"2019","D","Native American $1 Coin","Native American $1 Coin Program","Space Program","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1937","","Half Dollar","Walking Liberty Half Dollar","","Circulated","$26.20","Pending","","",""
"1978","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$31.35","$4 – $8","","",""
"1925","D","Nickel","Buffalo Nickel","Native American & Buffalo","About Good","$6.50","$12 – $20","","",""
"1945","S","Quarter Dollar","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"2014","P","$1","Presidential $1 Coin Program","Herbert Hoover","Uncirculated","3.50","$2.00 – $4.00","","",""
"1869","","","","","Extremely Fine","$695.00","Pending","","",""
"2017","P","Quarter","National Park Quarters","District of Columbia Frederick Douglass National Historic Site","Uncirculated","$1.00","$0.50 – $2.00","","",""
"1828","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Very Fine","$495.00","$110 – $160","","",""
"1982","D","Quarter","Washington Silver Quarter","","Uncirculated","23.50","$2 – $5","","",""
"1951","","Quarter","Washington Quarter","","Circulated","$27.00","Pending","","",""
"2016P","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","$1.00 – $3.00","","",""
"2024","","Quarter Dollar","American Women Quarters / The Celebrating America Coin Collection","Dr. Mary Edwards Walker","","$17.95","","","",""
"1923","","Dollar","Peace Dollar","","Extremely Fine","$79.00","$32 – $38","","",""
"1945","S","Quarter Dollar","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"2001","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","American Eagle","Proof","$69.20","","","",""
"2021","D","1 Dollar","Native American Dollar","Military Service","Uncirculated","$8.10","Pending","","",""
"1858","O","Quarter","Liberty Seated","Liberty Seated, No Motto","Average Circulated","$90.00","$125 – $250","","",""
"2004","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.40","$0.10 – $1.00","","",""
"1946","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"2019","P","Quarter","National Park Quarters","War in the Pacific National Historical Park","Uncirculated","$1.75","$0.25 – $1.00","","",""
"2020S","","Dollar","AI$ Proof Set","Unmapped","ch proof 63","$80.00","$5 – $15","","",""
"1914","","25 Cents","Barber Silver Quarters","Liberty Head","Very Good","$300.00","Pending","","",""
"1925","S","Penny","Lincoln Cent","","Average Circulated","$5.50","Pending","","",""
"2008","D","$1","Presidential $1 Coin Program","Andrew Jackson","Uncirculated","4.25","$1.50 – $3.00","","",""
"1909","","Penny","Lincoln Cent Series","Abraham Lincoln","Extremely Fine","","$4 – $8","","",""
"1925","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"1921","","$1","Morgan Silver Dollar Set","","MS-65","995.0","$150 – $350,000","","",""
"1907","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Good","$22.95","$3 – $5","","",""
"2019","P","Quarter","National Park Quarters","Lowell National Historical Park","Uncirculated","$1.75","$0.25 – $1.00","","",""
"1842","","Large Cent","Braided Hair Large Cents","Liberty Head","Very Fine","$148.50","Pending","","",""
"1928","","Buffalo Nickel","","","Average Circulated","$50.00","$1.50 – $3.50","","",""
"2011","P","$1","Presidential $1 Coin Program","Rutherford B. Hayes","Uncirculated","4.50","Pending","","",""
"1885","","Quarter Dollar","Washington Quarter Club","Liberty Seated","Gem Proof 65","$1995.00","","","",""
"1890","CC","$1","Morgan Silver Dollar","","Not Graded","1495","Pending","","",""
"1958","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"2022","S","Quarter","US Women's Quarters","Maya Angelou","Proof-63","$25.75","Pending","","",""
"1934","O","Quarter","Washington Silver Quarter","","Very Fine","55.00","Pending","","",""
"1878","CC","$1","Morgan Silver Dollar","","Uncirculated","1495.0","Pending","","",""
"1842","","Dollar","Liberty Seated","","EF-40","$850.00","Pending","","",""
"1937","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$19.75","Pending","","",""
"1871","P","Half Dollar","Liberty Walking Half Dollar","","Good","$175.00","Pending","","",""
"1990","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Choice Proof 63","$10.75","Pending","","",""
"2002","P","Quarter","State and Territory Quarters","Tennessee","Uncirculated","4.75","Pending","","",""
"2015","W","Dollar","The West Point Burnished American Eagle Silver Dollar Collection","American Eagle","Uncirculated","$164.00","","","",""
"1999","P","Quarter","State and Territory Quarters","Georgia","Uncirculated","5.95","$0.50 – $1.50","","",""
"2016","D","Dime","America the Beautiful Quarters","","Uncirculated","1.75","$0.15 – $1.00","","",""
"2012","P","$1","Presidential $1 Coin Program","Chester A. Arthur","Uncirculated","4.75","Pending","","",""
"2007","D","$1","Presidential $1 Coin Program","George Washington","Uncirculated","4.95","Pending","","",""
"1960","","Penny","Lincoln Cent","","Choice Proof 63","$25.00","Pending","","",""
"1998","S","Dime","Roosevelt Dimes","","Choice Proof 63","27.50","Pending","","",""
"1940-1941","S","Mixed","The World War II U.S. Coin Collection","Shipment #2","Average Circ","$87.00","","","",""
"1972","D","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated 63","$31.35","Pending","","",""
"2013","S","Quarter","America the Beautiful Quarters","Perry's Victory & International Peace Memorial","Proof-63 Cameo","$8.95","Pending","","",""
"1943","D","Penny","Lincoln Cent","Steel Cent (Wartime Issue)","Average Circulated","$2.00","$0.50 - $2.00","","",""
"2006","S","1 Dollar","Sacagawea Dollar","","Proof-63","$18.50","$5 – $10","","",""
"1996","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$95.00","$0.15 – $1.00","","",""
"2025","S","Dime","USA Invoice Import","Unmapped","Choice Proof-63","$10.95","","","",""
"1901","","Cent","Indian Head Cent","","Good","$8.25","Pending","","",""
"2019","P","Quarter","National Park Quarters","Frank Church River of No Return Wilderness Area","Uncirculated","$1.75","$0.25 – $1.00","","",""
"1921","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2012","P","Quarter","National Park Quarters","Hawaii Volcanoes National Park","Mint State","$1.25","Pending","","",""
"2025","W","American Silver Eagle","American Eagle Silver Dollar","Walking Liberty Half Dollar","Uncirculated","139.00","$45 – $65","","",""
"2024","D","Dollar","American Innovation Dollars","Maine - Direct Current Defibrillator","Uncirculated","$0.00","","","",""
"1885","","","","Unmapped","Extremely Fine","$125.00","Pending","","",""
"1942","","Half Dollar","Walking Liberty Half Dollar","America Revisited Selection","Circulated","$19.80","Pending","","",""
"1928","D","Cent","USA Invoice Import","Lincoln Head","Average Circulated","$4.45","","","",""
"1947","S","Dime","Roosevelt Dimes","Unmapped","Uncirculated","25.50","$8 – $15","","",""
"1997","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.50","$0.15 – $1.00","","",""
"1936","","Penny","Lincoln Cent","Lincoln Cent (Wheat Reverse)","Average Circulated","$1.35","$0.15 – $0.50","","",""
"2000","D","1 Dollar","Sacagawea Dollar","Sacagawea Dollar","Uncirculated","$4.95","$1.50 – $3.00","","",""
"1943","S","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$24.50","$5 – $15","","",""
"2003","D","Dime","USA Invoice Import","Unmapped","Uncirculated","$2.75","","","",""
"1935","","Quarter","Washington Silver Quarter","Unmapped","AU-50","275.00","Pending","","",""
"2013","S","$1","Presidential $1 Coin Program","Woodrow Wilson","Uncirculated","6.74","$2.50 – $5.00","","",""
"2025","","Quarter Dollar","Celebrating America Coin Collection","Ida B Wells","","$17.95","","","",""
"1941","S","Dime","Mercury Dime","Mercury (Roman God)","About Good","$1.50","$2.25 – $3.50","","",""
"2020","S","Dollar","The Complete 2020 American Eagle NGCX Silver Dollar Set","Emergency Issue","","$298.00","","","",""
"2014","P","Quarter","America the Beautiful Quarters","Everglades National Park","Uncirculated","$1.25","$0.50 – $2.00","","",""
"1966","","","Special Mint Set Hard Holder","Unmapped","uncirculated","$38.95","$5 – $15","","",""
"2010","D","$1","Presidential $1 Coin Program","Abraham Lincoln","Uncirculated","5.95","$1.50 – $3.00","","",""
"1948","S","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$15.25","$2.00 – $6.00","","",""
"1882","","$5 National Bank Note Large Size","USA Invoice Import","Portland Maine Brown Back","Fine/Very Fine","$876.00","","1060","",""
"1998","","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.45","$0.15 – $1.00","","",""
"1844","","Quarter","Liberty Seated","Liberty Seated, No Motto","Average Circulated","$67.50","$65 – $125","","",""
"2024","","Quarter Dollar","American Women Quarters / The Celebrating America Coin Collection","Zitkala-Sa","","$17.95","","","",""
"1874-1876","","50C Fractional Currency","USA Invoice Import","Unmapped","Crisp Uncirculated","$264.00","","","",""
"1957","","Quarter","Washington Silver Quarter","Unmapped","Choice Proof 63","32.75","$8 – $15","","",""
"","","","The World War II U.S. Coin Collection","Shipment # 2","","$87.00","","","",""
"1929","D","Lincoln Cent","","Unmapped","Average Circulated","$0.00","$0.50 – $1.50","","",""
"1941","S","Half Dollar","USA Invoice Import","Walking Liberty","Average Circ","$37.80","","","",""
"2007","W","Dollar","American Eagle","Unmapped","Uncirculated","$70.00","Pending","","",""
"1964","","Five Cents","USA Invoice Import","Unmapped","Average Circulated","$1.80","","","",""
"1948","D","Quarter","Washington Silver Quarter","Unmapped","Extremely Fine","27.75","$8 – $12","","",""
"1933","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","Pending","","",""
"1928","","Quarter","Standing Liberty Silver Quarter","Standing Liberty Quarter","Very Good","$32.50","$8 – $15","","",""
"1944","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1856","O","Dime","U.S. Dime Collection Selection","Liberty Seated","Genuine","$86.50","","","",""
"1854","","Dime","Liberty Seated Silver Dime","Unmapped","Fine","$60.00","$20 – $35","","",""
"2024","S","Dollar","Peace Dollar","Peace","Choice Proof-63","$169.00","","","",""
"1966","","Nickel","Jefferson Nickel Series","Thomas Jefferson","Uncirculated","$0.00","Pending","","",""
"2024","D","Dollar","American Innovation Dollars","Illinois","Uncirculated","$0.00","","","",""
"1984","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$15.50","$3 – $7","","",""
"1954","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Very Fine","$39.50","$10 – $14","","",""
"1924","S","Penny","Lincoln Head Penny","Lincoln Portrait","Average Circulated","$8.00","$1.50 – $4.00","","",""
"2017","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$26.50","$12 – $22","","",""
"1909-1958","","Cent","Wheat Cents","Mixed Wheat Cents Lot","Average Circ","$73.00","","","",""
"1911","","Nickel","Liberty Head Nickel","Liberty Head","Extremely Fine","$75.00","Pending","","",""
"1849","","Large Cent","Braided Hair Large Cents","Liberty Head","Extremely Fine","$135.00","Pending","","",""
"1902","","1 Dollar","Morgan Silver Dollars","Unmapped","Extremely Fine","$103.00","Pending","","",""
"1958","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Gem Uncirculated 65","$135.00","Pending","","",""
"1937","S","Dime","Mercury Dime","Winged Liberty Head","Very Good","$20.50","Pending","","",""
"1949","","Dime","Roosevelt Dime","Historic Year Set","Circulated","$22.40","Pending","","",""
"1995","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$53.50","Pending","","",""
"1859","","Half Dollar","Liberty Seated","No Motto","Very Good","$135.00","Pending","","",""
